Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-1484.663	-1579.852	95.18954	0.5703161	0.6226244	4.893319
6	-1481.15	-1575.357	94.20757	0.5857279	0.6478797	5.40908
12	-1483.469	-1577.946	94.47622	0.5691399	0.6478797	5.270024
18	-1483.197	-1576.704	93.50681	0.4243714	0.6478797	5.882054
24	-1477.132	-1571.172	94.03994	0.5721092	0.6478797	5.508841
30	-1483.265	-1576.292	93.02684	0.4267203	0.754753	6.066811
36	-1478.382	-1573.962	95.5802	0.6820594	0.6201172	4.61457
42	-1486.353	-1582.618	96.26477	0.6207327	0.8405589	4.104713
48	-1486.252	-1581.279	95.02688	0.5764527	0.5845046	5.011068
54	-1487.692	-1582.838	95.14561	0.50054	0.4852547	5.074323
60	-1483.279	-1579.43	96.15098	0.6648019	0.4642725	4.440814
66	-1479.67	-1573.251	93.5807	0.4477105	0.6813374	5.80417
72	-1483.491	-1577.614	94.1225	0.3666037	0.4952409	5.702866
78	-1485.915	-1578.461	92.54659	0.3286017	0.6371587	6.464692
84	-1488.944	-1582.889	93.94408	0.4723288	0.5428488	5.700662
90	-1497.821	-1592.226	94.40449	0.7327407	0.662969	5.207861
96	-1496.396	-1590.764	94.36799	0.5671834	0.3742372	5.579452
102	-1499.582	-1594.223	94.64029	0.7425897	0.7699989	4.995703
108	-1487.027	-1581.891	94.86455	0.6101145	0.4620189	5.191422
114	-1489.038	-1582.213	93.17424	0.5882126	0.5664845	6.038238
120	-1492.634	-1584.688	92.0539	0.3830765	0.7717721	6.607383
126	-1493.688	-1587.272	93.58342	0.5698056	0.913876	5.584334
132	-1490.652	-1582.172	91.52094	0.7255366	0.6287453	6.811031
138	-1489.721	-1583.386	93.665	0.8133893	0.7956787	5.478695
144	-1490.041	-1584.966	94.92477	0.8278363	0.7283453	4.818585
150	-1486.77	-1581.068	94.29815	0.484708	0.816109	5.297667
156	-1485.06	-1579.086	94.02594	0.4038783	0.6338917	5.619612
162	-1492.28	-1585.973	93.69306	0.2988778	0.6941083	5.814913
168	-1494.903	-1590.044	95.14093	0.5487082	0.4462925	5.087746
174	-1494.169	-1588.702	94.53277	0.7349366	0.8171817	5.028552
180	-1483.261	-1578.765	95.50417	0.6134981	0.671901	4.655577
186	-1484.525	-1580.063	95.53826	0.8211518	0.9018523	4.364465
192	-1486.887	-1581.739	94.85183	0.5850057	0.5554303	5.127751
198	-1483.739	-1578.14	94.40035	0.6593453	0.6037547	5.296494
204	-1484.834	-1579.663	94.82889	0.51604	0.437899	5.28685
210	-1492.887	-1587.575	94.68833	0.3829691	0.6078145	5.28685
216	-1490.414	-1585.012	94.59731	0.4253285	0.6422739	5.28685
222	-1491.689	-1585.019	93.33008	0.3132084	0.6778776	6.017037
228	-1480.858	-1574.194	93.33613	0.3116189	0.6745361	6.017037
234	-1480.321	-1573.989	93.66843	0.2868216	0.6366365	5.877406
240	-1491.63	-1586.854	95.22332	0.7204699	0.728019	4.712017
246	-1488.905	-1585.394	96.48942	0.8028224	0.6518384	4.006853
252	-1497.261	-1593.255	95.99415	0.8211543	0.6257118	4.298627
258	-1491.584	-1586.132	94.54808	0.5610575	0.7638265	5.151703
264	-1493.21	-1587.471	94.26115	0.499407	0.4389177	5.607564
270	-1497.909	-1591.381	93.47249	0.5097758	0.508869	5.967747
276	-1499.453	-1593.424	93.97048	0.4964105	0.508869	5.702724
282	-1486.919	-1582.482	95.56295	0.5085322	0.5060393	4.818501
288	-1481.741	-1576.06	94.31969	0.6200967	0.6271312	5.344248
294	-1482.31	-1576.143	93.83287	0.5458931	0.5287725	5.733436
300	-1491.554	-1586.787	95.23237	0.5770497	0.9513655	4.644327
306	-1492.109	-1585.745	93.63618	0.4721922	0.5127775	5.895413
312	-1500.199	-1593.509	93.30999	0.6738216	0.6323642	5.865055
318	-1489.65	-1584.461	94.81063	0.6459027	0.6323642	5.054314
324	-1493.607	-1587.371	93.76447	0.6105176	0.6323642	5.65087
330	-1502.243	-1595.929	93.68596	0.5133622	0.6323642	5.747148
336	-1498.133	-1592.286	94.15286	0.9204509	0.5142079	5.364612
342	-1491.943	-1588.051	96.10794	0.7754948	0.6010197	4.280069
348	-1495.464	-1590.59	95.1257	0.7840173	0.6443442	4.792826
354	-1491.511	-1587.738	96.22774	0.8845229	0.5284362	4.212871
360	-1482.815	-1577.578	94.76292	0.6513853	0.6188159	5.088341
366	-1488.123	-1580.245	92.12204	0.7774128	0.7052032	6.402031
372	-1480.3	-1573.612	93.31257	0.840515	0.6045326	5.794135
378	-1480.616	-1574.22	93.60381	0.7093386	0.5008446	5.794135
384	-1484.386	-1578.493	94.10686	0.4828302	0.5345859	5.612732
390	-1476.693	-1570.55	93.85679	0.6100614	0.5443689	5.67171
396	-1482.593	-1577.854	95.26093	0.4664817	0.5403093	4.979522
402	-1487.228	-1582.715	95.48641	0.5985187	0.4215023	4.893219
408	-1483.255	-1577.409	94.15366	0.5150008	0.4215023	5.675503
414	-1485.521	-1582.076	96.55469	0.7106945	0.5831365	4.078041
420	-1484.053	-1581.03	96.97661	0.8458842	0.5615892	3.777395
426	-1483.702	-1580.815	97.11338	0.8546272	0.4841502	3.765123
432	-1495.613	-1592.394	96.78065	1.019276	0.5909007	3.765123
438	-1500.657	-1597.617	96.95943	1.052318	0.6461276	3.597085
444	-1488.965	-1585.316	96.35101	1.004465	0.5489781	4.056198
